id,municipio,geocodigo,alfa0,c,t,n,r,tc,tn,tr,cn,cr,nr,tcn,tcr,tnr,cnr,sem
1,ITAGUAI,3302007,1.00844698681513e-05,1.72131805210096e-05,5.06727654154998e-05,7.53853948445058e-06,3.20629459755392e-05,3.71392190152801e-05,2.89551532934074e-05,1.40830027864616e-11,9.37870914921418e-06,6.03180267962833e-05,2.8554810959637e-05,2.4410933657185e-05,3.65195535179238e-11,3.70352867798889e-11,3.84490254650853e-05,1.08990601707964e-05
2,RIO DE JANEIRO,3304557,1.14063409297205e-05,2.28329487284689e-05,0.000117124078125057,1.46711413936153e-05,3.57952842897555e-05,8.63572436845586e-05,7.8598066558692e-05,0.000124499956613652,1.97581231213877e-05,5.31684295853539e-05,3.33724277641539e-05,7.00673275153497e-05,0.000119327082040623,0.000110928590310034,4.11922023097753e-05,9.23078957108975e-06
3,MESQUITA,3302858,2.48023971341616e-05,3.54920641962713e-05,0.000267811881282819,2.57539042755209e-05,6.03579837553963e-05,0.000204290091930542,0.00016535034820838,0.000187490625468727,3.26506508126468e-05,8.04149941007033e-05,4.51335071156826e-05,0.000180903795361627,0.000324696408857718,0.000221418554874898,5.47196588317529e-05,2.08262867557736e-05
4,SAO JOAO DE MERITI,3305109,2.24030772475445e-05,3.07645709622172e-05,0.000287760734025741,2.08687554295037e-05,5.2842475937419e-05,0.000173364618672565,0.00018220525901916,0.000286033751982734,2.76772464039423e-05,7.11712064117109e-05,4.59634791934619e-05,0.000158138954202127,0.000212876673447183,0.000343549851537386,5.73524490170464e-05,1.90368176320658e-05
5,NOVA IGUACU,3303500,3.18004429317476e-05,4.38851265162126e-05,0.000208595681530584,2.81506235117972e-05,7.12460648201582e-05,0.000137280092832425,0.000127510999614601,0.000187309178774124,3.36431148968006e-05,8.64142747039727e-05,5.82424702434867e-05,0.00011330602186098,0.000207979479358037,0.000183914387852455,6.48122123143854e-05,2.87026263626492e-05
6,BELFORD ROXO,3300456,2.36238134030491e-05,2.98358332277147e-05,0.000153903553772969,2.01989317326711e-05,4.76535987216989e-05,8.17438692098092e-05,7.28303556922526e-05,0.000131974871984374,2.54338278603628e-05,6.1293497100477e-05,4.19539939936751e-05,5.57543741048809e-05,0.000106614354556697,9.94431185361973e-05,5.18006430303552e-05,2.18455950125651e-05
7,BARRA DO PIRAI,3300308,3.24983969953529e-06,5.2460099995508e-06,3.32513134268804e-05,2.96924404644285e-06,1.171322674297e-05,1.44961427892602e-11,5.3492929558822e-12,9.010718041782e-11,4.0832492864523e-06,1.43206293439242e-05,3.3794173208713e-06,1.45585849608446e-11,9.6679703367061e-11,9.6679703367061e-11,5.74122023894959e-06,3.1813530300984e-06
8,VALENCA,3306107,4.24342601958439e-06,6.99557692989313e-06,0.00015474286893279,3.66582184748232e-06,1.77293569340623e-05,0.000117771758332352,1.64591577382897e-11,9.52880395590677e-11,4.64802537357052e-06,2.57806709419613e-05,2.23643601556559e-05,4.47420555588937e-11,9.52880395590677e-11,9.52880395590677e-11,2.42991713982553e-05,4.25813827807838e-06
9,NILOPOLIS,3303203,2.76610592409574e-05,3.61460333768222e-05,0.000226592470806458,2.79583183180354e-05,6.91010901292667e-05,0.000149973754592946,0.000136002611250136,0.000135900339750849,3.34456824083257e-05,7.87497625926276e-05,5.69864068424212e-05,0.000171357580430964,0.000214592274678112,0.000143833153541891,6.06325437861051e-05,2.35519699515957e-05
10,QUEIMADOS,3304144,3.51314483951182e-05,5.27176362084915e-05,0.000206404941924038,3.05989000307483e-05,8.11055940243893e-05,0.000160014289648192,0.000129345055055097,0.00010858234885337,3.99908943809717e-05,8.24816835146079e-05,5.86960318619241e-05,0.000133881610404514,7.99914675767918e-05,7.02592566570646e-05,5.37821821622429e-05,3.16189773890002e-05
